Method;Job;AnalyzeLaunchVariance;EvaluateOverhead;MaxAbsoluteError;MaxRelativeError;MinInvokeCount;MinIterationTime;OutlierMode;Affinity;EnvironmentVariables;Jit;Platform;Runtime;AllowVeryLargeObjects;Concurrent;CpuGroups;Force;HeapAffinitizeMask;HeapCount;NoAffinitize;RetainVm;Server;Arguments;BuildConfiguration;Clock;EngineFactory;Toolchain;IsMutator;InvocationCount;IterationCount;IterationTime;LaunchCount;MaxIterationCount;MaxWarmupIterationCount;MinIterationCount;MinWarmupIterationCount;RunStrategy;UnrollFactor;WarmupCount;Mean;Error;StdDev;Median;Gen 0;Allocated
EmptyArray;LegacyJitX86;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;LegacyJit;X86;Clr;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;0.1022 ns;0.0580 ns;0.0886 ns;0.0905 ns;-;0 B
EightBytes;LegacyJitX86;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;LegacyJit;X86;Clr;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;3.3369 ns;0.2827 ns;0.8156 ns;3.2129 ns;0.0038;20 B
SimpleLinqQuery;LegacyJitX86;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;LegacyJit;X86;Clr;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;715.5248 ns;13.2697 ns;12.4125 ns;721.8456 ns;0.0486;256 B
EmptyArray;RyuJitX64;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Clr;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;0.1745 ns;0.0512 ns;0.0427 ns;0.1724 ns;-;0 B
EightBytes;RyuJitX64;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Clr;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;2.5845 ns;0.1757 ns;0.5127 ns;2.4090 ns;0.0051;32 B
SimpleLinqQuery;RyuJitX64;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Clr;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;624.4960 ns;12.2310 ns;14.5601 ns;624.0734 ns;0.0601;384 B
